time	distance	eps	steps
0.092	3.94186		0.02	2
0.089	3.94186		0.02	2
0.09	3.94186		0.02	2
0.09	3.94186		0.02	2
0.089	3.94186		0.02	2
0.089	3.94186		0.07	2
0.09	3.94186		0.07	2
0.09	3.94186		0.07	2
0.091	3.94186		0.07	2
0.09	3.94186		0.07	2
0.09	3.94186		0.12	2
0.09	3.94186		0.12	2
0.09	3.94186		0.12	2
0.09	3.94186		0.12	2
0.09	3.94186		0.12	2
0.091	3.94186		0.17	2
0.09	3.94186		0.17	2
0.09	3.94186		0.17	2
0.094	3.94186		0.17	2
0.09	3.94186		0.17	2
0.09	3.94186		0.22	2
0.089	3.94186		0.22	2
0.09	3.94186		0.22	2
0.093	3.94186		0.22	2
0.09	3.94186		0.22	2
0.09	3.94186		0.27	2
0.09	3.94186		0.27	2
0.089	3.94186		0.27	2
0.09	3.94186		0.27	2
0.09	3.94186		0.27	2
0.09	3.94186		0.32	2
0.092	3.94186		0.32	2
0.09	3.94186		0.32	2
0.089	3.94186		0.32	2
0.089	3.94186		0.32	2
0.09	3.94186		0.37	2
0.091	3.94186		0.37	2
0.089	3.94186		0.37	2
0.09	3.94186		0.37	2
0.089	3.94186		0.37	2
0.09	3.94186		0.42	2
0.09	3.94186		0.42	2
0.09	3.94186		0.42	2
0.09	3.94186		0.42	2
0.089	3.94186		0.42	2
0.09	3.94186		0.47	2
0.09	3.94186		0.47	2
0.09	3.94186		0.47	2
0.09	3.94186		0.47	2
0.09	3.94186		0.47	2
0.09	3.94186		0.52	2
0.09	3.94186		0.52	2
0.09	3.94186		0.52	2
0.09	3.94186		0.52	2
0.09	3.94186		0.52	2
0.09	3.94186		0.57	2
0.089	3.94186		0.57	2
0.09	3.94186		0.57	2
0.09	3.94186		0.57	2
0.091	3.94186		0.57	2
0.089	3.94186		0.62	2
0.09	3.94186		0.62	2
0.091	3.94186		0.62	2
0.091	3.94186		0.62	2
0.092	3.94186		0.62	2
0.09	3.94186		0.67	2
0.09	3.94186		0.67	2
0.09	3.94186		0.67	2
0.09	3.94186		0.67	2
0.089	3.94186		0.67	2
0.091	3.94186		0.72	2
0.091	3.94186		0.72	2
0.091	3.94186		0.72	2
0.09	3.94186		0.72	2
0.09	3.94186		0.72	2
0.09	3.94186		0.77	2
0.09	3.94186		0.77	2
0.091	3.94186		0.77	2
0.09	3.94186		0.77	2
0.091	3.94186		0.77	2
0.089	3.94186		0.82	2
0.09	3.94186		0.82	2
0.111	3.94186		0.82	2
0.089	3.94186		0.82	2
0.089	3.94186		0.82	2
0.091	3.94186		0.87	2
0.091	3.94186		0.87	2
0.093	3.94186		0.87	2
0.09	3.94186		0.87	2
0.09	3.94186		0.87	2
0.097	3.94186		0.92	2
0.091	3.94186		0.92	2
0.091	3.94186		0.92	2
0.091	3.94186		0.92	2
0.091	3.94186		0.92	2
0.092	3.94186		0.97	2
0.098	3.94186		0.97	2
0.128	3.94186		0.97	2
0.106	3.94186		0.97	2
0.1	3.94186		0.97	2
