time	distance	eps	steps
1.392	6.28256		0.02	316
0.942	6.35276		0.02	319
1.289	6.2605		0.02	315
1.088	6.34536		0.02	319
1.23	6.15995		0.02	309
0.504	6.24322		0.04	158
0.597	6.27637		0.04	158
0.621	6.40461		0.04	162
0.678	6.34931		0.04	160
0.621	6.37626		0.04	161
0.699	6.58124		0.06	111
0.457	6.29133		0.06	106
0.534	6.4066		0.06	108
0.305	6.3174		0.06	107
0.346	6.58781		0.06	111
0.551	6.28703		0.08	80
0.64	6.44899		0.08	82
0.489	6.31381		0.08	80
0.423	6.60593		0.08	84
0.398	6.25906		0.08	80
0.283	6.18429		0.1	63
0.308	6.34855		0.1	65
0.459	6.20163		0.1	64
0.344	6.35687		0.1	65
0.387	6.4975		0.1	66
