time	distance	eps	steps
3.668	8.37447	0.02	420
2.356	8.44496	0.02	424
2.993	8.3521	0.02	419
7.013	8.73945	0.02	438
3.459	8.39232	0.02	421
2.7	8.00748	0.02	402
4.011	8.69592	0.02	436
3.478	8.24367	0.02	414
4.112	8.5587	0.02	429
3.452	8.51626	0.02	427
3.265	8.6176	0.03	289
4.356	9.25651	0.03	310
3.466	8.91191	0.03	299
4.978	9.09364	0.03	305
1.708	8.2801	0.03	278
5.151	8.67605	0.03	291
4.358	9.49992	0.03	318
1.804	8.30554	0.03	278
2.643	8.65926	0.03	290
1.65	8.10281	0.03	272
1.122	8.256	0.04	208
1.463	9.34005	0.04	235
1.393	8.03099	0.04	202
1.267	8.25603	0.04	208
1.794	9.03082	0.04	227
3.516	8.95067	0.04	225
2.013	8.57932	0.04	216
3.237	8.40448	0.04	212
1.235	7.88734	0.04	199
1.311	8.58303	0.04	216
1.988	8.85194	0.05	179
1.535	8.44865	0.05	170
2.164	8.17869	0.05	165
2.446	8.35112	0.05	169
1.768	8.4092	0.05	170
1.217	8.52584	0.05	172
3.357	8.81201	0.05	178
1.031	8.73042	0.05	176
1.383	8.68946	0.05	175
2.218	8.58274	0.05	173
0.988	8.93601	0.06	150
1.231	8.48269	0.06	143
1.315	8.24885	0.06	139
0.887	8.1485	0.06	137
0.895	8.36969	0.06	141
1.501	8.29836	0.06	140
0.934	8.11711	0.06	137
1.378	9.68209	0.06	163
1.046	8.87022	0.06	149
0.944	9.02977	0.06	152
0.5	8.01783	0.07	116
0.848	7.99524	0.07	116
0.638	8.74148	0.07	126
2.74	9.06588	0.07	131
1.111	8.75654	0.07	127
0.589	8.43765	0.07	122
1.067	8.9332	0.07	129
0.876	8.71591	0.07	126
0.788	8.22772	0.07	119
1.348	8.58358	0.07	124
0.586	8.45253	0.08	107
2.893	9.4407	0.08	120
1.187	8.34214	0.08	106
1.372	8.93145	0.08	113
0.907	9.17389	0.08	116
0.692	8.51811	0.08	108
1.318	9.14379	0.08	116
0.816	8.82483	0.08	112
0.866	8.48295	0.08	108
1.361	9.1353	0.08	116
1.362	8.88827	0.09	100
0.848	8.73199	0.09	99
0.815	9.23654	0.09	104
1.196	8.99031	0.09	101
0.487	8.07337	0.09	91
0.908	8.27711	0.09	93
1.173	9.27362	0.09	105
0.632	8.8164	0.09	99
0.659	8.9261	0.09	101
0.901	8.20619	0.09	93
0.45	7.77759	0.1	79
0.876	9.64118	0.1	98
0.921	8.54497	0.1	87
1.772	8.94295	0.1	91
1.337	8.70117	0.1	89
0.545	8.35425	0.1	85
1.129	8.49495	0.1	86
1.113	10.0235	0.1	102
0.674	8.29115	0.1	84
0.677	8.90256	0.1	91
1.442	9.66451	0.11	89
1.191	8.56301	0.11	79
0.882	8.871	0.11	82
0.867	8.07609	0.11	75
1.032	8.78821	0.11	81
0.733	8.49316	0.11	79
1.272	8.95227	0.11	83
0.865	8.64709	0.11	80
1.047	8.47399	0.11	79
0.951	8.40592	0.11	78
1.278	9.34183	0.12	79
0.658	8.48801	0.12	72
1.465	9.52263	0.12	81
1.336	8.62123	0.12	73
0.503	7.78718	0.12	66
0.603	7.80557	0.12	67
0.671	8.52252	0.12	73
0.923	8.30916	0.12	71
0.695	8.07219	0.12	69
0.632	8.17243	0.12	70
0.891	8.70352	0.13	68
0.554	8.25533	0.13	65
0.965	9.07697	0.13	71
0.808	9.10271	0.13	72
0.636	8.38379	0.13	66
0.638	9.74741	0.13	76
0.922	8.60477	0.13	68
0.613	8.0393	0.13	63
0.921	10.3245	0.13	81
0.705	9.95467	0.13	78
1.36	9.04436	0.14	66
0.626	8.27483	0.14	61
0.808	8.68953	0.14	64
0.495	8.00604	0.14	59
0.527	8.26916	0.14	61
0.987	8.26606	0.14	61
0.564	8.54393	0.14	63
1.006	8.69346	0.14	64
1.184	9.26599	0.14	68
